trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
637 @ 2023-12-31-16-32-50.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
637 @ 2023-12-31-16-32-50.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
637 @ 2023-12-31-16-32-50.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[8]/ul[1]/li[2]/a,,,,,a,headphones,
637 @ 2023-12-31-16-32-50.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a,Submit,,,,a,Submit,
637 @ 2023-12-31-16-32-50.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
637 @ 2023-12-31-16-32-50.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
637 @ 2023-12-31-16-32-50.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
637 @ 2024-01-01-19-56-36.json,1,1,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a,Submit,,,,a,Submit,
637 @ 2024-01-01-19-56-36.json,3,3,mouseup,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-01-01-19-56-36.json,5,5,keystroke,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-01-01-19-56-36.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[5]/div/span[1]/span[1]/span[1]/span/span[1]/span/span[1],,,,,span,Choose one…,
637 @ 2024-01-01-19-56-36.json,9,9,keystroke,/html/body[1]/span[1]/span/span[1]/input,,search,,searchbox,input,,
637 @ 2024-01-01-19-56-36.json,11,11,mouseup,/span/span/span[2]/ul/li/span/span[1],,,,,span,headphones,
637 @ 2024-01-01-19-56-36.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
637 @ 2024-01-02-01-20-47.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
637 @ 2024-01-02-01-20-47.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
637 @ 2024-01-02-01-20-47.json,5,5,scroll,,,,,,,,
637 @ 2024-01-02-01-20-47.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[8]/ul[1]/li[2]/a,,,,,a,headphones,
637 @ 2024-01-02-01-20-47.json,9,9,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
637 @ 2024-01-02-01-20-47.json,11,11,mouseup,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-01-02-01-20-47.json,13,13,keystroke,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-01-02-01-20-47.json,15,15,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
637 @ 2024-01-08-01-39-40.json,1,1,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
637 @ 2024-01-08-01-39-40.json,3,3,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
637 @ 2024-01-08-01-39-40.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
637 @ 2024-01-08-01-39-40.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[8]/ul[1]/li[2]/a,,,,,a,headphones,
637 @ 2024-01-08-01-39-40.json,9,9,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
637 @ 2024-01-08-01-39-40.json,11,11,mouseup,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-01-08-01-39-40.json,13,13,keystroke,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-01-08-01-39-40.json,15,15,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
637 @ 2024-02-05-14-12-41.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
637 @ 2024-02-05-14-12-41.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
637 @ 2024-02-05-14-12-41.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[8]/ul[1]/li[2]/a,,,,,a,headphones,
637 @ 2024-02-05-14-12-41.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a,Submit,,,,a,Submit,
637 @ 2024-02-05-14-12-41.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-02-05-14-12-41.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
637 @ 2024-02-05-14-12-41.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
