trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
571 @ 2023-12-27-09-20-35.json,1,1,mouseup,//*[@id='street_1'],,text,,,input,,101 S San Mateo Dr
571 @ 2023-12-27-09-20-35.json,3,3,mouseup,//*[@id='idqlUTFaj5'],,,,,a,My Account,
571 @ 2023-12-27-09-20-35.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[1]/div[4]/div[2]/div[1]/div[2]/a/span,,,,,span,Edit Address,
571 @ 2023-12-27-09-20-35.json,7,7,mouseup,//*[@id='street_1'],,text,,,input,,101 S San Mateo Dr
571 @ 2023-12-27-09-20-35.json,9,9,mouseup,//*[@id='street_1'],,text,,,input,,101 S San Mateo Dr
571 @ 2023-12-27-09-20-35.json,11,11,mouseup,//*[@id='street_1'],,text,,,input,,101 S San Mateo Dr
571 @ 2023-12-27-09-20-35.json,13,13,keystroke,//*[@id='street_1'],,text,,,input,,101 S San Mateo Dr
571 @ 2023-12-27-09-20-35.json,15,15,mouseup,//*[@id='region_id'],,,,,select,"Please select a region, state or province.\nAlabama\nAlaska\nAmerican Samoa\nArizona\nArkansas\nArmed Forces Africa\nArmed Forces Americas\nArmed Forces Canada\nArmed Forces Europe\nArmed Forces Middle East\nArmed Forces Pacific\nCalifornia\nColorado\nConnecticut\nDelaware\nDistrict of Columbia\nFederated States Of Micronesia\nFlorida\nGeorgia\nGuam\nHawaii\nIdaho\nIllinois\nIndiana\nIowa\nKansas\nKentucky\nLouisiana\nMaine\nMarshall Islands\nMaryland\nMassachusetts\nMichigan\nMinnesota\nMississippi\nMissouri\nMontana\nNebraska\nNevada\nNew Hampshire\nNew Jersey\nNew Mexico\nNew York\nNorth Carolina\nNorth Dakota\nNorthern Mariana Islands\nOhio\nOklahoma\nOregon\nPalau\nPennsylvania\nPuerto Rico\nRhode Island\nSouth Carolina\nSouth Dakota\nTennessee\nTexas\nUtah\nVermont\nVirgin Islands\nVirginia\nWashington\nWest Virginia\nWisconsin\nWyoming",12
571 @ 2023-12-27-09-20-35.json,17,17,scroll,,,,,,,,
571 @ 2023-12-27-09-20-35.json,19,19,mouseup,//*[@id='region_id'],,,,,select,"Please select a region, state or province.\nAlabama\nAlaska\nAmerican Samoa\nArizona\nArkansas\nArmed Forces Africa\nArmed Forces Americas\nArmed Forces Canada\nArmed Forces Europe\nArmed Forces Middle East\nArmed Forces Pacific\nCalifornia\nColorado\nConnecticut\nDelaware\nDistrict of Columbia\nFederated States Of Micronesia\nFlorida\nGeorgia\nGuam\nHawaii\nIdaho\nIllinois\nIndiana\nIowa\nKansas\nKentucky\nLouisiana\nMaine\nMarshall Islands\nMaryland\nMassachusetts\nMichigan\nMinnesota\nMississippi\nMissouri\nMontana\nNebraska\nNevada\nNew Hampshire\nNew Jersey\nNew Mexico\nNew York\nNorth Carolina\nNorth Dakota\nNorthern Mariana Islands\nOhio\nOklahoma\nOregon\nPalau\nPennsylvania\nPuerto Rico\nRhode Island\nSouth Carolina\nSouth Dakota\nTennessee\nTexas\nUtah\nVermont\nVirgin Islands\nVirginia\nWashington\nWest Virginia\nWisconsin\nWyoming",12
571 @ 2023-12-27-09-20-35.json,21,21,mouseup,//*[@id='city'],,text,,,input,,San Mateo
571 @ 2023-12-27-09-20-35.json,23,23,mouseup,//*[@id='city'],,text,,,input,,San Mateo
571 @ 2023-12-27-09-20-35.json,25,25,mouseup,//*[@id='city'],,text,,,input,,San Mateo
571 @ 2023-12-27-09-20-35.json,27,27,keystroke,//*[@id='city'],,text,,,input,,San Mateo
571 @ 2023-12-27-09-20-35.json,29,29,scroll,,,,,,,,
571 @ 2023-12-27-09-20-35.json,31,31,mouseup,//*[@id='zip'],,text,,,input,,94010
571 @ 2023-12-27-09-20-35.json,33,33,mouseup,//*[@id='zip'],,text,,,input,,94010
571 @ 2023-12-27-09-20-35.json,35,35,keystroke,//*[@id='city'],,text,,,input,,Chicag
571 @ 2023-12-27-09-20-35.json,37,37,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[1]/form[1]/div[1]/div[1]/button/span,,,,,span,Save Address,
