trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
539 @ 2023-12-28-11-24-20.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[2]/a[1],,,,,a,SALES,
539 @ 2023-12-28-11-24-20.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[2]/div[1]/ul[1]/li/div[1]/ul/li[1]/a/span,,,,,span,Orders,
539 @ 2023-12-28-11-24-20.json,5,5,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
539 @ 2023-12-28-11-24-20.json,7,7,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
539 @ 2023-12-28-11-24-20.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[2]/div[1]/div[2]/button[1],Search,button,,,button,,
539 @ 2023-12-28-11-24-20.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr/td[10]/a,,,,,a,View,
539 @ 2023-12-28-11-24-20.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[1]/div/div[1]/div[1]/section[2]/div[2]/div[2]/div[1]/div[1]/a,,,,,a,Edit,
539 @ 2023-12-28-11-24-20.json,15,15,mouseup,//*[@id='street0'],,text,,,input,,789 Harvard Square
539 @ 2023-12-28-11-24-20.json,17,17,mouseup,//*[@id='street0'],,text,,,input,,789 Harvard Square
539 @ 2023-12-28-11-24-20.json,19,19,mouseup,//*[@id='street0'],,text,,,input,,789 Harvard Square
539 @ 2023-12-28-11-24-20.json,21,21,keystroke,//*[@id='street0'],,text,,,input,,789 Harvard Square
539 @ 2023-12-28-11-24-20.json,23,23,scroll,,,,,,,,
