trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
417 @ 2023-12-29-08-28-22.json,1,1,mouseup,/html/body[1]/header[1]/div[1]/div/div[3]/ul/li[3]/a[1]/svg[2],,,,,svg,,
417 @ 2023-12-29-08-28-22.json,3,3,mouseup,/html/body[1]/header[1]/div[1]/div/div[3]/ul/li[3]/div[1]/ul/li[2]/a,,,,,a,Assigned to you\n3,
417 @ 2023-12-29-08-28-22.json,5,5,mouseup,/html/body[1]/div[3]/div/div[3]/main/ul[1]/li[2]/div/div[1]/div[1]/span/a,,,,,a,update or remove 404 links,
417 @ 2023-12-29-08-28-22.json,7,7,scroll,,,,,,,,
417 @ 2023-12-29-08-28-22.json,9,9,mouseup,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
417 @ 2023-12-29-08-28-22.json,11,11,keystroke,/html/body[1],,,,,body,"Skip to content\nGitLab\n/\n16\n8\n7\nHelp\nA\na11yproject.com\nProject information\nRepository\nIssues\n41\nMerge requests\n11\nCI/CD\nSecurity & Compliance\nDeployments\nPackages and registries\nInfrastructure\nMonitor\nAnalytics\nWiki\nSnippets\nSettings\nCollapse sidebar\nThe A11Y Project\na11yproject.com\nMerge requests\n!1485\nupdate or remove 404 links\nEdit\nCode\nOpen\nRoshan Jossy\nrequested to merge\ngithub/fork/Roshanjossey/1478-fix-404-urls\ninto\nmain\n1 year ago\nOverview 1\nCommits 1\nPipelines 1\nChanges 2\n\n(https://github.com/a11yproject/a11yproject.com/issues/1478)\n\nRemove\n\nAccessibility Tester\nBlindspot: Hidden Biases of Good People\nHex Naw\nImage-Color: Color Contrast Checker\nMunich Accessibility Meetup\nParis Web Accessibility Meetup\nStark newsletter\n\nUpdate\n\nSimply Accessible articles to Level Access blog\nKarl Groves' web accessibility blog link to https://karlgroves.com/category/professional/accessibility/\nInclusion: Diversity, The New Workplace & The Will To Change book link to https://jenniferbrownspeaks.com/jbs-book-inclusion\nLandmarks browser extension link to https://chrome.google.com/webstore/detail/landmark-navigation-via-k/ddpokpbjopmeeiiolheejjpkonlkklgp\nNoCoffee browser extension link to https://addons.mozilla.org/en-US/firefox/addon/nocoffee/\nPhilly Accessibility Meetup link to https://a11yphl.com/events/\nI want to see like the colour blind chrome extension to Colorblindly chrome extension\nEdited 9 months ago by Byte Blaze\n👍\n0\n👎\n0\nAdd reaction\nPipeline #1819 failed for d257721f on github/fork/Roshanjossey/1478-fix-404-urls 9 months ago\nApprove\nApproval is optional\nMerge blocked: merge conflicts must be resolved.\nResolve locally\nResolve conflicts\n\nMerge details\n\nThe source branch is 44 commits behind the target branch\n1 commit and 1 merge commit will be added to main.\nSource branch will not be deleted.\nActivity\nSort or filter\nAdministrator restored source branch github/fork/Roshanjossey/1478-fix-404-urls 9 months ago\nByte Blaze changed the description 9 months ago\nByte Blaze assigned to @ericwbailey 9 months ago\nByte Blaze unassigned @ericwbailey 9 months ago\nRoshan Jossy assigned to @Roshanjossey 9 months ago\nRoshan Jossy assigned to @ericwbailey and unassigned @Roshanjossey 9 months ago\nByte Blaze\n@byteblaze\n· just now\nMaintainer\n\n@Roshanjossey\n\nWrite\nPreview\n \n \n \n \n \n \n \n \n \n \n \n \nSupports Markdown. For quick actions, type /.\nComment\nToggle dropdown\n \nClose merge request\nMark as done\nAssignee\nEdit\nByte Blaze\n0 Reviewers\nEdit\nNone - assign yourself\nLabels\nEdit\nNone\nMilestone\nEdit\nNone\nTime tracking\nNo estimate or time spent\nLock merge request\nEdit\nUnlocked\nNotifications\nNotifications\n3 participants\nReference: a11yproject/a11yproject.com!1485\nSource branch: github/fork/Roshanjossey/1478-fix-404-urls",
417 @ 2023-12-29-08-28-22.json,13,13,mouseup,/html/body[1]/div[7]/div/div[2]/ul/li,,,,,li,Roshanjossey Roshan Jossy,0
417 @ 2023-12-29-08-28-22.json,15,15,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/div[2]/div[3]/div[2]/div/section/div/div[4]/div[2]/ul/li/div/div/form/div[2]/div[1]/button[1]/span,,,,,span,Comment,
417 @ 2024-01-06-21-37-43.json,1,1,mouseup,/html/body[1]/header[1]/div[1]/div/div[3]/ul/li[3]/a[1],Merge requests,,,,a,8,
417 @ 2024-01-06-21-37-43.json,3,3,mouseup,/html/body[1]/header[1]/div[1]/div/div[3]/ul/li[3]/div[1]/ul/li[2]/a,,,,,a,Assigned to you\n3,
417 @ 2024-01-06-21-37-43.json,5,5,mouseup,/html/body[1]/div[3]/div/div[3]/main/ul[1]/li[2]/div/div[1]/div[1]/span/a,,,,,a,update or remove 404 links,
417 @ 2024-01-06-21-37-43.json,7,7,scroll,,,,,,,,
