trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
613 @ 2023-12-31-13-36-38.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
613 @ 2023-12-31-13-36-38.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
613 @ 2023-12-31-13-36-38.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[2]/ul[1]/li[2]/a,,,,,a,books,
613 @ 2023-12-31-13-36-38.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
613 @ 2023-12-31-13-36-38.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
613 @ 2023-12-31-13-36-38.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
613 @ 2023-12-31-13-36-38.json,13,13,mouseup,//*[@id='submission_body'],,,,,textarea,,
613 @ 2023-12-31-13-36-38.json,15,15,keystroke,//*[@id='submission_body'],,,,,textarea,,
613 @ 2023-12-31-13-36-38.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
613 @ 2024-01-01-19-10-58.json,1,1,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
613 @ 2024-01-01-19-10-58.json,3,3,mouseup,//*[@id='submission_title'],,,,,textarea,,
613 @ 2024-01-01-19-10-58.json,5,5,keystroke,//*[@id='submission_title'],,,,,textarea,,
613 @ 2024-01-01-19-10-58.json,7,7,mouseup,//*[@id='submission_body'],,,,,textarea,,
613 @ 2024-01-01-19-10-58.json,9,9,keystroke,//*[@id='submission_body'],,,,,textarea,,
613 @ 2024-01-01-19-10-58.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[5]/div/span[1]/span[1]/span[1]/span/span[2],,,,presentation,span,,
613 @ 2024-01-01-19-10-58.json,13,13,mouseup,/span/span/span[2]/ul/li[2]/span/span[1],,,,,span,books,
613 @ 2024-01-01-19-10-58.json,15,15,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
613 @ 2024-01-03-20-50-02.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
613 @ 2024-01-03-20-50-02.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
613 @ 2024-01-03-20-50-02.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[2]/ul[1]/li[2]/a,,,,,a,books,
613 @ 2024-01-03-20-50-02.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
613 @ 2024-01-03-20-50-02.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
613 @ 2024-01-03-20-50-02.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
613 @ 2024-01-03-20-50-02.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
613 @ 2024-01-03-20-50-02.json,15,15,mouseup,//*[@id='reply_to_submission_38_comment'],Comment,,,,textarea,,
613 @ 2024-01-03-20-50-02.json,17,17,keystroke,//*[@id='submission_title'],,,,,textarea,,Love stor
