trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
235 @ 2023-12-30-14-18-39.json,1,1,mouseup,//*[@id='idWFFwpqh7'],,,,,a,My Account,
235 @ 2023-12-30-14-18-39.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[2]/div/div[2]/ul/li[2]/a,,,,,a,My Orders,
235 @ 2023-12-30-14-18-39.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[1]/div[3]/table/tbody[1]/tr[1]/td[5]/a[1]/span,,,,,span,View Order,
235 @ 2023-12-30-14-18-39.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[1]/div[1]/h1[1]/span,,,,,span,Order # 000000197,
235 @ 2023-12-30-14-18-39.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[1]/div[1]/h1[1]/span,,,,,span,Order # 000000197,
235 @ 2024-01-01-00-13-13.json,1,1,mouseup,//*[@id='idPdN9zsKW'],,,,,a,My Account,
235 @ 2024-01-01-00-13-13.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[2]/div/div[2]/ul/li[2]/a,,,,,a,My Orders,
235 @ 2024-01-01-13-14-05.json,1,1,mouseup,//*[@id='idPdN9zsKW'],,,,,a,My Account,
235 @ 2024-01-01-13-14-05.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[2]/div/div[2]/ul/li[2]/a,,,,,a,My Orders,
235 @ 2024-01-08-03-30-09.json,1,1,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[2]/div/div[2]/ul/li[2]/a,,,,,a,My Orders,
235 @ 2024-01-08-03-30-09.json,3,3,mouseup,//*[@id='idP2gM9nE8'],,,,,a,My Account,
235 @ 2024-01-08-03-30-09.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div[2]/div/div[2]/ul/li[2]/a,,,,,a,My Orders,
